species,genus,family,stomatal density,Stomatal length/size,plant functional group/1-tree/2-shrub/3-herb
Alocasia_macrorrhizos,Alocasia,Araceae,115.5830753,21.29983455,3
Heteropanax_fragrans,Heteropanax,Araliaceae,92.87925697,19.15446522,1
Millettia_pachyloba,Millettia,Fabaceae,75.67939456,13.56472579,3
Ficus_esquiroliana,Ficus,Moraceae,178.878569,11.492786,1
Monstera_deliciosa,Monstera,Araceae,58.47953216,23.62759438,2
Pandanus_furcatus,Pandanus,Pandanaceae,25.7997936,16.59278,1
Pterospermum_heterophyllum,Pterospermum,Malvaceae,1076.711386,11.73874533,1
Adenanthera_microsperma,Adenanthera,Fabaceae,185.7585139,15.13023759,1
Mayodendron_igneum,Mayodendron,Bignoniaceae,202.9583763,19.98468533,1
Ficus_subulata,Ficus,Moraceae,371.5170279,9.783175667,2
Radermachera_microcalyx,Radermachera,Bignoniaceae,134.1589267,19.763622,1
Trigonostemon_thyrsoideus,Trigonostemon,Euphorbiaceae,244.2380461,13.206168,1
Phrynium_pubinerve,Phrynium,Marantaceae,151.3587891,14.3017892,3
Cryptocarya_brachythyrsa,Cryptocarya,Lauraceae,450.6363949,18.121199,1
Leea_compactiflora,Leea,Vitaceae,127.2789818,15.201501499999999,2
Strychnos_ovata,Strychnos,Loganiaceae,313.0374957,16.109999,3
Pterospermum_menglunense,Pterospermum,Malvaceae,388.7168903,8.940144,1
Capparis_sikkimensis,Capparis,Capparaceae,NA,NA,3
Harpullia_cupanioides,Harpullia,Sapindaceae,343.997248,18.77151967,1
Chassalia_curviflora,Chassalia,Rubiaceae,110.0791194,20.03336824,2
NA,NA,NA,773.993808,9.102886667,1
Paulownia_kawakamii,Paulownia,Paulowniaceae,326.7973856,12.39559259,1
Alseodaphne_petiolaris,Alseodaphne,Lauraceae,NA,NA,1
Aglaia_perviridis,Aglaia,Meliaceae,429.99656,10.879881,1
Diospyros_xishuangbannaensis,Diospyros,Ebenaceae,161.6787066,16.40943185,3
Lithocarpus_craibianus,Lithocarpus,Fagaceae,251.1179911,18.53479619,1
Callicarpa_arborea,Callicarpa,Lamiaceae,247.6780186,23.75588067,1
Tacca_chantrieri,Tacca,Dioscoreaceae,144.4788442,25.24957667,3
Morus_macroura,Morus,Moraceae,130.7189542,19.90966379,1
Byttneria_aspera,Byttneria,Malvaceae,825.5933953,19.139995,3
Strychnos_angustiflora,Strychnos,Loganiaceae,302.7175783,22.91797233,3
Litchi_chinensis,Litchi,Sapindaceae,NA,NA,1
Nephelium_chryseum,Nephelium,Sapindaceae,NA,13.87532,1
Parabaena_sagittata,Parabaena,Menispermaceae,264.877881,27.97658767,3
Magnolia_rostrata,Magnolia,Magnoliaceae,175.4385965,28.92528897,1
